t_sta_info,t_sta_spec,t_sta_ad,t_sta_dat,t_sta_age
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 동충동 192-4,1992-10-07,536.0
노거목 - 풍치목,팽나무 (Celtis sinensis Persoon),남원시 동충동 362,1982-09-20,216.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 화정동 2통 637,1982-09-20,336.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 화정동 2통 637,1982-09-20,336.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 화정동 2통 637,1982-09-20,336.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 용정동 147,1982-09-20,346.0
노거목 - 풍치목,버드나무 (Salix koreensis ANDERSS.),남원시 내척동 91,1982-09-20,266.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 향교동 29-5,1992-01-16,176.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 향교동 29-5,1992-01-16,176.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 향교동 29-5,1992-01-16,176.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 고죽동 529-1,1992-01-16,226.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 고죽동 529-1,1992-01-16,226.0
"노거목 - 정자목
풍치목",느티나무 (Zelkova serrata),남원시 송동면 두신리 238,2002-07-19,316.0
"노거목 - 정자목
풍치목",느티나무 (Zelkova serrata),남원시 송동면 두신리 238,2002-07-19,166.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 대산면 운교리 406-1,2005-04-01,363.0
노거목 - 풍치목,왕버들 (Salix koreensis ANDERSS.),남원시 덕과면 만도리1275,2006-03-24,422.0
노거목 - 풍치목,왕버들 (Salix koreensis ANDERSS.),남원시 덕과면 만도리1275,2006-03-24,422.0
노거목 - 정자목,소나무 (Pinus densiflora),남원시 덕과면 만도리253-1,2006-03-24,313.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 보절면 금다리 249-2,2006-03-24,523.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 이백면 남계리 615-2,2006-03-24,463.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 이백면 남계리 615-2,2006-03-24,463.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),남원시 이백면 내동리 289-1,2006-03-24,512.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 아영면 의지리 1004-1,2006-03-24,482.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 아영면 의지리 65-4,2006-03-24,512.0
노거목 - 풍치목,소나무 (Pinus densiflora),남원시 광치동 353-1,2006-03-24,312.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 대강면 강석리 2061-1,2007-01-18,411.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 대강면 강석리362-7,2007-01-18,411.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 대강면 강석리362-7,2007-01-18,411.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 대강면 풍산리 433-1,2007-01-18,361.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),남원시 송동면 영동리 381,2007-01-18,411.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 보절면 진기리 410-1,2008-10-24,310.0
노거목 - 풍치목,소나무 (Pinus densiflora),남원시 송동면 영동리 228-2,2008-10-24,410.0
노거목 - 당산목,소나무 (Pinus densiflora),남원시 산내면 장항리 산10,2008-12-26,410.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 산내면 덕동리 797,2009-03-27,509.0
노거목 - 풍치목,느티나무 (Zelkova serrata),남원시 주천면 덕치리 587,2010-05-24,508.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 주천면 덕치리 602,2010-05-24,208.0
노거목 - 풍치목,소나무 (Pinus densiflora),남원시 송동면 장국리 1076-1,2012-04-16,206.0
노거목 - 풍치목,배롱나무 (Lagerstroemia indica),남원시 주천면 용궁리 494,2012-04-16,306.0
노거목 - 정자목,소나무 (Pinus densiflora),남원시 운봉면 가산리18-1,2013-03-11,505.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 인월면 건지리 산3-1,2013-03-11,506.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 주생면 지당리 725,2014-04-04,504.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 금지면 귀석리 722-1,2014-04-04,454.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 금지면 입암리 817,2014-04-04,504.0
노거목 - 정자목,팽나무 (Celtis sinensis Persoon),남원시 이백면 남계리 1136-1,2014-04-04,204.0
노거목 - 정자목,느릅나무 (Ulmus davidiana var. japonica),남원시 이백면 남계리 1136-1,2014-04-04,204.0
노거목 - 정자목,소나무 (Pinus densiflora),남원시 인월면 서무리 905,2014-04-04,504.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 대강면 방산리 322-3,2014-09-05,404.0
노거목 - 당산목,느티나무 (Zelkova serrata),남원시 대산면 옥율리 산113-5,2014-12-19,454.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 인월면 중군리 136,2015-11-13,303.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 산내면 중황리 584-2,2016-06-10,452.0
노거목 - 당 산 목,모과나무 (Chaenomeles sinensis),남원시 용성로 151번지 선원사,2017-02-10,261.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 이백면 초촌리 863,2017-02-10,451.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 이백면 초촌리 863,2017-02-10,451.0
노거목 - 정자목,서어나무 (Carpinus laxiflora (Siebold & Zucc.) Blume),남원시 아영면 봉대리 산60-1,2017-02-10,501.0
노거목 - 정자목,서어나무 (Carpinus laxiflora (Siebold & Zucc.) Blume),남원시 아영면 봉대리 산60-1,2017-02-10,501.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 사매면 관풍리 815,2017-06-30,701.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 사매면 관풍리 815,2017-06-30,701.0
노거목 - 풍치목,소나무 (Pinus densiflora),남원시 사매면 관풍리 189,2017-06-30,401.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 운봉읍 임리 509-1,2018-05-15,300.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 운봉읍 임리 509-1,2018-05-15,300.0
노거목 - 정자목,느티나무 (Zelkova serrata),남원시 덕과면 신양리 342,2018-07-27,400.0
노거목 - 당산목,느티나무 (Zelkova serrata),인월면 유곡리 742-4,2023-11-17,451.0
노거목 - 정자목,팽나무 (Celtis sinensis Persoon),아영면 구상리 233-2,2023-11-17,501.0
노거목 - 당산목,느티나무 (Zelkova serrata),아영면 청계리 327-1,2023-11-17,501.0
노거목 - 정자목,은행나무 (Ginkgo biloba),김제시 백학동 834-2,1982-09-20,466.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금구면 선암리 209,1982-09-20,486.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금산면 장흥리 407,1982-09-20,436.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금산면 금산리 296-5,1982-09-20,386.0
노거목 - 정자목,팽나무 (Celtis sinensis Persoon),김제시 성덕면 대목리 33,1982-09-20,486.0
노거목 - 정자목,팽나무 (Celtis sinensis Persoon),김제시 성덕면 대목리 86,1982-09-20,386.0
노거목 - 풍치목,느티나무 (Zelkova serrata),김제시 교동 262-4(성산공원),1992-05-14,526.0
노거목 - 풍치목,느티나무 (Zelkova serrata),김제시 교동 262-4(성산공원),1992-05-14,526.0
노거목 - 풍치목,느티나무 (Zelkova serrata),김제시 교동 262-4(성산공원),1992-05-14,526.0
노거목 - 풍치목,느티나무 (Zelkova serrata),김제시 교동 262-4(성산공원),1992-05-14,526.0
노거목 - 풍치목,느티나무 (Zelkova serrata),김제시 요촌동 409,1993-06-14,475.0
노거목 - 풍치목,느티나무 (Zelkova serrata),김제시 요촌동 409,1993-06-14,475.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 백산면 조종리 665,1982-09-20,336.0
노거목 - 정자목,은행나무 (Ginkgo biloba),김제시 금구면 금구리 163,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금구면 금구리 177,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금구면 상신리 511-1,1982-09-20,296.0
노거목 - 정자목,버드나무 (Salix koreensis ANDERSS.),김제시 금구면 용복리 598,1982-09-20,286.0
노거목 - 정자목,팽나무 (Celtis sinensis Persoon),김제시 금구면 청운리 192-2,1982-09-20,242.0
노거목 - 풍치목,회화나무 (Sophora japonica),김제시 교동 7-3,1992-05-14,326.0
노거목 - 풍치목,느티나무 (Zelkova serrata),김제시 교동 262-4(성산공원),1992-05-14,376.0
노거목 - 풍치목,느티나무 (Zelkova serrata),김제시 교동 262-4(성산공원),1992-05-14,376.0
노거목 - 풍치목,느티나무 (Zelkova serrata),김제시 교동 262-4(성산공원),1992-05-14,376.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 순동 605,1982-09-20,236.0
노거목 - 당산목,느티나무 (Zelkova serrata),김제시 서암동 322,1982-09-20,186.0
노거목 - 당산목,팽나무 (Celtis sinensis Persoon),김제시 장화동 274-1,1982-09-20,236.0
노거목 - 정자목,팽나무 (Celtis sinensis Persoon),김제시 용지면 반교리 37,1982-09-20,136.0
노거목 - 정자목,은행나무 (Ginkgo biloba),김제시 백구면 마산리 340-2,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금구면 상신리 511-1,1982-09-20,236.0
노거목 - 정자목,소나무 (Pinus densiflora),김제시 금구면 산동리 603-2,1982-09-20,186.0
노거목 - 정자목,팽나무 (Celtis sinensis Persoon),김제시 금구면 낙성리 214-2,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금구면 대화리 645,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금구면 오봉리 319,1982-09-20,236.0
노거목 - 정자목,회화나무 (Sophora japonica),김제시 금구면 금구리 163,1982-09-20,136.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금구면 금구리 22,1982-09-20,186.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 황산동 6,1982-09-20,136.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금산면 용산리 763,1982-09-20,146.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금산면 구월리 544-1,1982-09-20,236.0
노거목 - 정자목,팽나무 (Celtis sinensis Persoon),김제시 금산면 선동리 266,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),김제시 금산면 쌍용리 109-2,1982-09-20,236.0
노거목 - 정자목,팽나무 (Celtis sinensis Persoon),김제시 금구면 상신리 511-1,1994-03-04,224.0
노거목 - 풍치목,소나무 (Pinus densiflora),김제시 요촌동 105-1,2004-11-05,214.0
노거목 - 정자목,소나무 (Pinus densiflora),김제시 만경읍 만경리 183-1,2005-10-21,363.0
노거목 - 정자목,은행나무 (Ginkgo biloba),완주군 삼례읍 석전리 331-49,1982-09-20,436.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 구이면 항가리1185-10,1982-09-20,436.0
노거목 - 풍치목,느티나무 (Zelkova serrata),완주군 구이면 계곡리 441-2,1982-09-20,436.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 화산면 우월리 207-1,1982-09-20,336.0
노거목 - 기형목,느티나무 (Zelkova serrata),완주군 구이면 두현리 794,1982-09-20,386.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 봉동읍 장기리 1117-38,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 용진면 상삼리 877,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 상관면 죽림리 763,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 소양면 화심리 526-2,1982-09-20,286.0
노거목 - 당산목,느티나무 (Zelkova serrata),완주군 구이면 덕천리 404-4,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 구이면 항가리 1188,1982-09-20,336.0
노거목 - 당산목,은행나무 (Ginkgo biloba),완주군 고산면 오산리 497,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 화산면 종리 666-1,1982-09-20,286.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 동상면 수만리 433,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 고산면 읍내리 544-11,1996-12-30,322.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 구이면 안덕리 223-12,1997-12-03,321.0
노거목 - 당산목,느티나무 (Zelkova serrata),완주군 봉동읍 성덕리 913,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 용진면 구억리 27,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 상관면 용암리 660,1982-09-20,236.0
노거목 - 보목,소나무 (Pinus densiflora),완주군 이서면 이성리 134,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 구이면 덕천리 1415-104,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 구이면 계곡리 249-4,1982-09-20,186.0
노거목 - 정자목,버드나무 (Salix koreensis ANDERSS.),완주군 구이면 계곡리 529,1982-09-20,186.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 구이면 계곡리 612-1,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 구이면 백여리 1378-20,1982-09-20,236.0
노거목 - 풍치목,느티나무 (Zelkova serrata),완주군 구이면 백여리 1392-10,1982-09-20,236.0
노거목 - 당산목,느티나무 (Zelkova serrata),완주군 고산면 읍내리 151-1,1982-09-20,236.0
노거목 - 당산목,느티나무 (Zelkova serrata),완주군 고산면 읍내리 151-1,1982-09-20,236.0
노거목 - 당산목,느티나무 (Zelkova serrata),완주군 고산면 읍내리 151-1,1982-09-20,236.0
노거목 - 당산목,느티나무 (Zelkova serrata),완주군 고산면 삼기리 1220,1982-09-20,236.0
노거목 - 당산목,느티나무 (Zelkova serrata),완주군 고산면 소향리 539-2,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 비봉면 내월리 917-11,1982-09-20,186.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 경천면 용복리 131-12,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 화산면 승치리 992,1982-09-20,186.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 구이면 두현리 796,1993-05-10,225.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 소양면 명덕리 532-2,1998-12-08,320.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 운주면 장선리 722-13,1998-08-17,320.0
노거목 - 정자목,느티나무 (Zelkova serrata),완주군 삼례읍 신금리 598-1,2001-09-07,317.0
노거목 - 정자목,팽나무 (Celtis sinensis Persoon),완주군 삼례읍 수계리 502-8,2001-09-07,267.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),완주군 봉동읍 구미리 508-1,2001-09-07,387.0
"노거목 - 당산목
풍치목",느티나무 (Zelkova serrata),완주군 봉동읍 장기리 111-4,2004-08-13,364.0
"노거목 - 당산목
풍치목",느티나무 (Zelkova serrata),완주군 봉동읍 장기리 111-4,2004-08-13,364.0
"노거목 - 당산목
풍치목",느티나무 (Zelkova serrata),완주군 봉동읍 장기리 111-4,2004-08-13,364.0
"노거목 - 당산목
풍치목",느티나무 (Zelkova serrata),완주군 봉동읍 장기리 111-4,2004-08-13,364.0
"노거목 - 당산목
풍치목",느티나무 (Zelkova serrata),완주군 봉동읍 장기리 111-4,2004-08-13,364.0
"노거목 - 당산목
풍치목",느티나무 (Zelkova serrata),완주군 봉동읍 장기리 111-4,2004-08-13,364.0
"노거목 - 당산목
풍치목",느티나무 (Zelkova serrata),완주군 봉동읍 장기리 111-4,2004-08-13,364.0
노거목 - 풍치목,팽나무 (Celtis sinensis Persoon),완주군 봉동읍 장기리 111-4,2004-08-13,364.0
노거목 - 풍치목,소나무 (Pinus densiflora),완주군 구이면 계곡리 614-1,,211.0
노거목 - 풍치목,소나무 (Pinus densiflora),완주군 운주면 금당리 산85,,411.0
노거목 - 당산목,느티나무 (Zelkova serrata),완주군 경천면 가천리 1163,,311.0
노거목 - 당산목,느티나무 (Zelkova serrata),완주군 운주면 산북리 954,2010-11-19,508.0
노거목 - 풍 치 목,버드나무 (Salix koreensis ANDERSS.),완주군 봉동읍 구만리 202-1,2016-10-27,202.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 안천면 신괴리 1059,1982-09-20,706.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 백운면 동창리 1550-1,1982-09-20,466.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 백운면 덕현리 336-1,1982-09-20,456.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 백운면 반송리 359-2,1982-09-20,466.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 백운면 반송리 422-2,1982-09-20,406.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 성수면 좌포리 821-1,1982-09-20,406.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 성수면 구신리 1213,1982-09-20,366.0
노거목 - 명목,느티나무 (Zelkova serrata),진안군 마령면 계서리 243-1,1982-09-20,386.0
노거목 - 기형목,느티나무 (Zelkova serrata),진안군 마령면 계서리1312,1982-09-20,466.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 부귀면 황금리 915,1982-09-20,466.0
노거목 - 정자목,소나무 (Pinus densiflora),진안군 주천면 용덕리 61-1,1982-09-20,556.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 주천면 용덕리 529-5,1982-09-20,416.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 진안읍 군하리 97-4,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 진안읍 단양리 30-5,1982-09-20,286.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 안천면 신괴리 산118,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 동향면 대량리 283-1,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 동향면 성산리 598-1,1982-09-20,316.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 백운면 동창리 1169,1982-09-20,286.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 백운면 동창리 714-1,1982-09-20,336.0
노거목 - 풍치목,소나무 (Pinus densiflora),진안군 백운면 반송리 1345,1982-09-20,246.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 성수면 외궁리 561-3,1982-09-20,296.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 성수면 좌포리 585-2,1982-09-20,286.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 마령면 평지리 321,1982-09-20,296.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 진안읍 연장리 1675,1982-09-20,306.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 정천면 월평리 79,1982-09-20,286.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 주천면 대불리 2088,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 진안읍 물곡리 1537,1982-09-20,236.0
노거목 - 풍치목,버드나무 (Salix koreensis ANDERSS.),진안군 안천면 백화리 1674,1982-09-20,166.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 동향면 대량리 628,1982-09-20,186.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 동향면 대량리 628,1982-09-20,186.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 동향면 학선리 1043,1982-09-20,136.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 성수면 외궁리 346-1 / 353-3,1982-09-20,236.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 성수면 좌포리 1311-2,1982-09-20,186.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 성수면 구신리 613,1982-09-20,146.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 마령면 동촌리 95-1,1982-09-20,206.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 부귀면 수항리 1229,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 부귀면 오룡리 105-1,1982-09-20,186.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 주천면 대불리 716,1982-09-20,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 마령면 강정리 207,2002-12-13,616.0
노거목 - 당상목,느티나무 (Zelkova serrata),진안군 안천면 노성리 천1578,2004-04-16,514.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 진안읍 구룡리 896-1,2005-08-04,363.0
노거목 - 풍치목,소나무 (Pinus densiflora),진안군 동향면 능금리 산96 / 1151-2,2006-07-28,312.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진안군 동향면 자산리 산213-1,2005-08-04,313.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 백운면 노촌리 789,2006-07-28,312.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 백운면 운교리 1007,2005-08-04,313.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 상전면 주평리 208번지,2007-09-21,511.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 상전면 주평리 208번지,2007-09-21,511.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 상전면 주평리 208번지,2007-09-21,511.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 상전면 월포리 1016-3,2007-09-21,561.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 상전면 월포리 1016-3,2007-09-21,561.0
노거목 - 정자목,느티나무 (Zelkova serrata),진안군 상전면 월포리 1016-3,2007-09-21,561.0
노거목 - 당산목,느티나무 (Zelkova serrata),진안군 주천면 신양리 860-3,2007-09-21,461.0
노거목 - 풍치목,소나무 (Pinus densiflora),진안군 주천면 대불리 2174,2007-09-21,311.0
노거목 - 풍치목,소나무 (Pinus densiflora),진안군 주천면 대불리 2174,2007-09-21,311.0
노거목 - 당산목,느티나무 (Zelkova serrata),진안군 진안읍 구룡리 35-3,2009-11-13,409.0
노거목 - 당산목,느티나무 (Zelkova serrata),진안군 성수면 좌산리 684-6,2010-04-16,308.0
노거목 - 당산목,느티나무 (Zelkova serrata),진안군 진안읍 군상리 372-5,2011-04-04,507.0
노거목 - 당산목,느티나무 (Zelkova serrata),진안군 부귀면 세동리 1352,2014-05-09,504.0
노거목 - 당산목,느티나무 (Zelkova serrata),진안군 부귀면 거석리 1251-2,2017-10-26,400.0
노거목 - 풍치목,개서어나무 (Carpinus tschonoskii),안천면 백화리 1974-18,2023-11-17,201.0
노거목 - 풍치목,소나무 (Pinus densiflora Siebold & Zucc.),안천면 노성리 1119-7,2023-11-17,201.0
노거목 - 정자목,느티나무 (Zelkova serrata),백운면 운교리 298-2,2023-11-17,501.0
노거목 - 정자목,느티나무 (Zelkova serrata),마령면 덕천리 647-3,2023-11-17,501.0
노거목 - 회귀목,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),주천면 대불리 산137-1,2023-11-17,201.0
노거목 - 정자목,버드나무 (Salix koreensis ANDERSS.),무주읍 사정리 396,1982-09-20,506.0
노거목 - 당산목,느티나무 (Zelkova serrata),무주읍 당산리 153-1,1982-09-20,506.0
노거목 - 정자목,느티나무 (Zelkova serrata),무주읍 무풍면 지성리 335,1982-09-20,516.0
노거목 - 정자목,느티나무 (Zelkova serrata),무주읍 안성면 금평리 583,1982-09-20,506.0
노거목 - 정자목,느티나무 (Zelkova serrata),무주읍 용포리 118,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 금평리 105-2,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 금평리 105-2,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 금평리 105-2,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 금평리 1092,1982-09-20,346.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 금평리 1092,1982-09-20,346.0
노거목 - 호안목,느티나무 (Zelkova serrata),무풍면 금평리 395,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 철목리 415,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 철목리 415,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 철목리 415,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 증산리 572-1,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),설천면 기곡리 329-9,1982-09-20,346.0
노거목 - 정자목,느티나무 (Zelkova serrata),설천면 기곡리 329-9,1982-09-20,346.0
노거목 - 정자목,느티나무 (Zelkova serrata),설천면 길산리 1-9,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),설천면 길산리 1-9,1982-09-20,356.0
노거목 - 풍치목,느티나무 (Zelkova serrata),설천면 두길리 2367,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),설천면 두길리 248,1982-09-20,336.0
노거목 - 정자목,느티나무 (Zelkova serrata),설천면 두길리 2210-1,1982-09-20,366.0
노거목 - 당산목,소나무 (Pinus densiflora),설천면 심곡리 693,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),설천면 심곡리 691,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),설천면 삼공리 410-24,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),적상면 북창리 682,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),적상면 사천리 54,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),적상면 삼가리 382,1982-09-20,266.0
노거목 - 정자목,느티나무 (Zelkova serrata),안성면 사전리 25,1982-09-20,306.0
노거목 - 정자목,느티나무 (Zelkova serrata),부남면 고창리 225,1982-09-20,356.0
노거목 - 정자목,느티나무 (Zelkova serrata),무주읍 가옥리 215-4,1982-09-20,256.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 증산리 486,1982-09-20,256.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 증산리 486,1982-09-20,256.0
노거목 - 당산목,느티나무 (Zelkova serrata),무풍면 은산리 587-2,1982-09-20,256.0
노거목 - 당산목,느티나무 (Zelkova serrata),설천면 두길리 72,1982-09-20,256.0
노거목 - 정자목,느티나무 (Zelkova serrata),적상면 포내리 797,1982-09-20,486.0
노거목 - 당산목,느티나무 (Zelkova serrata),적상면 삼가리 691-1,1982-09-20,256.0
노거목 - 정자목,느티나무 (Zelkova serrata),부남면 장안리 201,1982-09-20,256.0
노거목 - 정자목,느티나무 (Zelkova serrata),부남면 대소리 1419,1998-08-17,440.0
노거목 - 풍치목,느티나무 (Zelkova serrata),무주읍 읍내리 229-2,2001-03-16,517.0
노거목 - 정자목,느티나무 (Zelkova serrata),무풍면 지성리 684-1,2001-03-16,437.0
노거목 - 정자목,느티나무 (Zelkova serrata),적상면 사천리 213,2001-03-16,537.0
노거목 - 기형목,소나무 (Pinus densiflora),적상면 사천리 산51-1,2001-03-16,437.0
노거목 - 정자목,느티나무 (Zelkova serrata),적상면 포내리 산56-7,2001-03-16,537.0
노거목 - 보목,소나무 (Pinus densiflora),적상면 삼가리 산310,2001-03-16,527.0
노거목 - 당산목,느티나무 (Zelkova serrata),무주읍 용포리 1166-1,2008-05-07,310.0
