t_sta_info,t_sta_spec,t_sta_ad,t_sta_dat,t_sta_age
노거목 - 정자목,은행나무 (Ginkgo biloba),상계동 995-4,1981-10-27,208.0
노거목 - 정자목,느티나무 (Zelkova serrata),중계본동 43-18,1996-08-16,128.0
노거목 - 정자목,반송 (Pinus densiflora for.multicaulis),상계동1,2005-07-21,169.0
노거목 - 정자목,느티나무 (Zelkova serrata),중계본동 34-4,2005-07-21,119.0
노거목 - 풍치목,음나무 (Kalopanax septemlobus(Thunb. Ex Murray)),중계본동 산136-7,2013-01-17,161.0
노거목 - 정자목,느티나무 (Zelkova serrata),진관동 125-25,1981-10-27,258.0
노거목 - 정자목,느티나무 (Zelkova serrata),진관동 125-25,1981-10-27,258.0
노거목 - 풍치목,은행나무 (Gingko biloba),진관동 354,1981-10-27,158.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진관동 354-5,1981-10-27,258.0
노거목 - 정자목,느티나무 (Zelkova serrata),불광동 309-5,1981-10-27,208.0
노거목 - 정자목,느티나무 (Zelkova serrata),불광동 309-5,1981-10-27,208.0
노거목 - 정자목,가죽나무 (Ailanthus altissima),수색동 380-1,1981-10-27,158.0
노거목 - 정자목,느티나무 (Zelkova serrata),진관동 310-5,1981-10-27,208.0
노거목 - 풍치목,느티나무 (Zelkova serrata),진관동 132-27,1981-10-27,208.0
노거목 - 명목,살구나무 (Prunus almeniaca),응암1동 54-2,2004-12-27,200.0
노거목 - 정자목,느티나무 (Zelkova serrata),진관동 125-25,2007-11-29,137.0
노거목 - 정자목,느티나무 (Zelkova serrata),진관동 125-25,2007-11-29,147.0
노거목 - 정자목,느티나무 (Zelkova serrata),봉원동 산2-1,1972-10-12,452.0
노거목 - 정자목,느티나무 (Zelkova serrata),봉원동 산2-1,1972-10-12,482.0
노거목 - 정자목,느티나무 (Zelkova serrata),봉원동 산2-1,1972-10-12,352.0
노거목 - 정자목,회화나무 (Sophora japonica),봉원동 산2-1,2000-12-20,204.0
노거목 - 정자목,위성류 (Tamarix chinensis),현저동 1-370,2010-12-02,74.0
노거목 - 풍치목,느티나무 (Zelkova serrata),합정동 85-3,1968-07-03,386.0
노거목 - 풍치목,회화나무 (Sophora japonica),창전동 444,1968-07-03,336.0
노거목 - 정자목,은행나무 (Ginkgo biloba),상수동 353-3,1968-07-03,286.0
노거목 - 정자목,느티나무 (Zelkova serrata),창전동 42-17,1968-07-03,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),창전동 446-5,1968-07-03,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),창전동 446-5,1968-07-03,236.0
노거목 - 정자목,회화나무 (Sophora japonica),창전동 445,1968-07-03,236.0
노거목 - 정자목,회화나무 (Sophora japonica),창전동 445,1968-07-03,236.0
노거목 - 풍치목,회화나무 (Sophora japonica),상수동 276,1968-07-03,236.0
노거목 - 정자목,느티나무 (Zelkova serrata),상수동 334-10,1968-07-03,236.0
노거목 - 정자목,회화나무 (Sophora japonica),상수동 262-3,1968-07-03,221.0
노거목 - 풍치목,느티나무 (Zelkova serrata),합정동 145-3,1981-10-27,208.0
노거목 - 풍치목,비술나무 (Ulmus pumila),대흥동 199-1,2004-12-27,170.0
노거목 - 풍치목,비술나무 (Ulmus pumila),대흥동 199-1,2004-12-27,170.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),합정동 450-6,2005-07-21,149.0
노거목 - 정자목,은행나무 (ginkgo biloba),개화동 234-5,1971-10-12,453.0
노거목 - 풍치목,향나무 (juniperus chinensis),방화동 837,1974-04-20,570.0
노거목 - 정자목,은행나무 (ginkgo biloba),방화동 799,1972-10-12,477.0
노거목 - 정자목,향나무 (juniperus chinensis),오곡동 1,1972-10-12,477.0
노거목 - 풍치목,측백나무 (platycladus orientalis),화곡동 452-7,1972-10-12,477.0
노거목 - 정자목,느티나무 (zelkova serrata),방화동 799,1974-04-20,520.0
노거목 - 정자목,향나무 (juniperus chinensis),개화동 356-13 등 5필지,1974-04-20,520.0
노거목 - 정자목,은행나무 (ginkgo biloba),외발산동 427,1981-10-27,458.0
