번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
34,서울특별시,마포구,서울특별시 마포구청,서14-15,2004-12-27,,노목+거목,,,비술나무,1,155,15,290,,도나무,학교용지,,,마포구 백범로17길 9,,37.548168,126.944128,2023-12-27
35,서울특별시,마포구,서울특별시 마포구청,서14-16,2005-07-21,,노목+거목,,,은행나무,1,135,23.6,330,,시·군나무,임야,,,,마포구 합정동 450-6,37.551501,126.903545,2023-12-27
36,서울특별시,강북구,서울특별시 강북구청,서9-2,1981-10-27,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,415,28,3.3,,시·군나무,임야,,단체,서울특별시 강북구 인수봉로23길 235 (수유동),서울특별시 강북구 수유동 산 164-5,37.632523,127.007773,2024-07-09
37,서울특별시,강북구,서울특별시 강북구청,서9-5,2006-07-13,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,120,17.7,3.6,,마을나무,학교용지,,단체,서울특별시 강북구 인수봉로 159,서울특별시 강북구 수유동 458-1,37.633914,127.012651,2024-07-09
38,서울특별시,강북구,서울특별시 강북구청,서9-1,1981-10-27,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,415,20.5,3.6,,시·군나무,임야,,단체,서울특별시 강북구 인수봉로23길 235 (수유동),서울특별시 강북구 수유동 산 164-5,37.632599,127.007881,2024-07-10
39,서울특별시,영등포구,영등포구청,서19-1,1968-07-03,,거목+노목,은행나무,Ginkgo biloba,은행나무,1,530,18,5.5,,도나무,공원,,공공,"서울특별시 영등포구 당산로46길 38, 당산동6가 10-7 (당산동6가)",서울특별시 영등포구 당산동6가 10-13,37.532941,126.906597,2024-06-30
40,서울특별시,은평구,서울특별시 은평구청,서12-5,1981-10-27,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,217,19,2.7,18.5,면나무,하천,,공공,서울특별시 은평구 진관길 73,서울특별시 은평구 진관동 354-5,37.637652,126.946456,2020-12-22
41,서울특별시,은평구,서울특별시 은평구청,서12-6,1981-10-27,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,167,12,3.5,14,마을나무,하천,,공공,서울특별시 은평구 연서로 257,서울특별시 은평구 불광동 309-5,37.62007,126.923295,2020-12-22
42,서울특별시,은평구,서울특별시 은평구청,서12-7,1981-10-27,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,167,12,2.1,10.4,마을나무,하천,,공공,서울특별시 은평구 연서로 257,서울특별시 은평구 불광동 309-5,37.62007,126.923295,2020-12-22
43,서울특별시,은평구,서울특별시 은평구청,서12-8,1981-10-27,,노목+거목,소태나무과,Ailanthus altissima,가중나무,1,117,18,3.6,21.9,마을나무,철도용지,,공공,서울특별시 은평구 수색로 261,서울특별시 은평구 수색동 380-1,37.582148,126.894506,2020-12-22
44,서울특별시,은평구,서울특별시 은평구청,서12-9,1981-10-27,,노목+거목,소태나무과,Ailanthus altissima,가중나무,1,117,16,2.5,18.4,마을나무,철도용지,,공공,서울특별시 은평구 수색로 261,서울특별시 은평구 수색동 380-1,37.582148,126.894506,2020-12-22
45,서울특별시,은평구,서울특별시 은평구청,서12-10,1981-10-27,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,167,19,4.7,19.4,마을나무,대,,개인,서울특별시 은평구 의상봉길 65,서울특별시 은평구 진관동 310-5,37.651313,126.9446,2020-12-22
46,서울특별시,은평구,서울특별시 은평구청,서12-11,1981-10-27,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,167,18,4.2,15.8,마을나무,전,,공공,서울특별시 은평구 연서로54길 20-1,서울특별시 은평구 진관동 132-27,37.642544,126.941755,2020-12-22
47,서울특별시,은평구,서울특별시 은평구청,서12-14,2004-12-27,,노목+거목,장미과,Prunus almeniaca,살구나무,1,182,13,2.5,11.8,마을나무,대,,공공,서울특별시 은평구 은평로20가길 18-3,서울특별시 은평구 응암동 54-2,37.599304,126.932144,2020-12-22
48,서울특별시,은평구,서울특별시 은평구청,서12-15,2007-11-29,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,122,15,2.9,13,마을나무,대,,공공,서울특별시 은평구 연서로48길 52,서울특별시 은평구 진관동 125-25,37.639415,126.940096,2020-12-22
49,서울특별시,은평구,서울특별시 은평구청,서12-16,2007-11-29,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,132,15,2.9,14,마을나무,대,,공공,서울특별시 은평구 연서로48길 52,서울특별시 은평구 진관동 125-25,37.639415,126.940096,2020-12-22
