번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
91,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-2-11-8,1982-10-22,,노목,,celtis sinensis pers,팽나무,1,415,1700,300,,시·군나무,대,,,제주특별자치도 서귀포시 하원로 39-2,제주특별자치도 서귀포시 하원동 500-6,33.2787769,126.2480545,2024-07-19
92,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-2-11-11,1990-12-17,,노목,,Pinus thunbergii Parl.,곰솔,1,217,800,230,,면나무,대,,,,제주특별자치도 서귀포시 대포동 777,33.28147248,126.284925,2024-07-19
93,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-2-8-12,1994-02-21,,노목,,Cinnamomum camphora (L.) J.Pre니,녹나무,1,233,1650,390,,면나무,대,,,제주특별자치도 서귀포시 지장샘로 19,제주특별자치도 서귀포시 서홍동 204,33.2484256,126.2748084,2024-07-19
94,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-2-7-3,1982-10-22,,노목,,Distylium racemosum Siebold & Zucc.,조록나무,1,255,1200,360,,면나무,대,,,,제주특별자치도 서귀포시 동홍동 1106-1,33.24611958,126.2795103,2024-07-19
95,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-2-6-2,2003-11-10,,노목,,Aphananthe aspera (Thunb.) Planch.,푸조나무,1,324,1350,200,,시·군나무,대,,,제주특별자치도 서귀포시 동상효로 64,제주특별자치도 서귀포시 상효동 268,33.24611958,126.2795103,2024-07-19
96,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,2020-01-01,2020-06-25,,노목,,Camellia japonica L.,동백나무,1,157,800,144,,마을나무,대,,,제주특별자치도 서귀포시 대정읍 향교로21번길 15,제주특별자치도 대정읍 인성리 334-1,33.24611958,126.2795103,2024-07-19
97,제주특별자치도,제주시,제주특별자치도,2013-1,2013-12-02,,노목+거목,,,곰솔,1,350,15,300,,마을나무,종교용지,정광사,단체,제주특별자치도 제주시 해안마을길 188(해안동),제주특별자치도 제주시 해안동 1356-1,33.4489730,126.459983,2024-07-24
98,제주특별자치도,제주시,제주특별자치도,2015-1,2015-05-08,,노목+거목,,,회화나무,1,250,9,270,,마을나무,대,제주시,공공,,제주특별자치도 제주시 조천읍 조천리 2525-1,33.5373523,126.636567,2024-07-24
99,제주특별자치도,제주시,제주특별자치도,13-3-1-1-1,1982-10-22,,노목+거목,,,팽나무,1,160,11,400,,마을나무,대,귀덕리,단체,제주특별자치도 제주시 한림읍 귀덕로 62,제주특별자치도 제주시 한림읍 귀덕리 777-2,33.4391121,126.297113,2024-07-24
100,제주특별자치도,제주시,제주특별자치도,13-3-1-1-2,1982-10-22,,노목+거목,,,팽나무,1,110,11,500,,마을나무,도로,귀덕리,단체,,제주특별자치도 제주시 한림읍 귀덕리 4147(귀덕리 1290 앞),33.4387625,126.295879,2024-07-24
101,제주특별자치도,제주시,제주특별자치도,13-3-1-8-5,1982-10-22,,노목+거목,,,은행나무,1,140,17,400,,마을나무,대,양미자,개인,제주특별자치도 제주시 한림읍 월계로 109-3,제주특별자치도 제주시 한림읍 명월리 2106,33.3969306,126.260586,2024-07-24
102,제주특별자치도,제주시,제주특별자치도,13-3-1-8-6,1982-10-22,,노목+거목,,,팽나무,1,140,12,400,,마을나무,대,홍관수,개인,제주특별자치도 제주시 한림읍 명월로3길 30,제주특별자치도 제주시 한림읍 명월리 1814,33.3870068,126.268633,2024-07-24
103,제주특별자치도,제주시,제주특별자치도,13-3-1-10-8,1982-10-22,,노목+거목,,,팽나무,1,110,9,250,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 한림읍 월림리 2361(월림리 2351-3 옆),33.3500141,126.256428,2024-07-24
104,제주특별자치도,제주시,제주특별자치도,13-3-1-13-10,1982-10-22,,노목+거목,,,팽나무,1,110,13,300,,마을나무,임야,제주특별자치도,공공,,제주특별자치도 제주시 한림읍 협재리 1549(협재리 1560-1 옆),33.3973757,126.246179,2024-07-24
105,제주특별자치도,제주시,제주특별자치도,13-3-1-13-9,1982-10-22,,노목+거목,,,팽나무,1,130,12,500,,마을나무,임야,제주특별자치도,공공,,제주특별자치도 제주시 한림읍 협재리 1549(협재리 1560-1 옆),33.3975645,126.246080,2024-07-24
